File	Terminals	Reading time (s)	Encoding time (s)	Total time (s)	Current memory (KB)	Peak memory (KB)
4267.newick	11	0.0009548664093017578	0.031192302703857422	0.03214764595031738	6.669	16.592
2926.newick	20	0.001150369644165039	0.09416317939758301	0.09531402587890625	13.418	25.985
516.newick	28	0.0013399124145507812	0.10295796394348145	0.10429930686950684	21.218	35.816
4258.newick	11	0.0013391971588134766	0.029027223587036133	0.030366897583007812	5.953	15.932
4393.newick	8	0.0009179115295410156	0.010367393493652344	0.011285781860351562	4.626	15.016
4556.newick	6	0.0008645057678222656	0.006277799606323242	0.007142782211303711	3.871	14.808
1894.newick	20	0.0011644363403320312	0.09686708450317383	0.09803223609924316	13.614	26.987
2443.newick	20	0.0011355876922607422	0.09087395668029785	0.0920100212097168	12.227	24.15
635.newick	26	0.0012359619140625	0.08482599258422852	0.08606243133544922	16.091	30.336
1648.newick	20	0.0010895729064941406	0.08775973320007324	0.08885025978088379	11.209	22.543
995.newick	22	0.0012843608856201172	0.1059114933013916	0.10719680786132812	14.371	26.929
4342.newick	9	0.0014944076538085938	0.023828983306884766	0.025324106216430664	5.433	15.156
2487.newick	20	0.0017545223236083984	0.1660938262939453	0.16784930229187012	12.774	26.043
802.newick	23	0.0024156570434570312	0.09876489639282227	0.1011815071105957	12.125	22.787
105.newick	54	0.002931833267211914	0.44310808181762695	0.4460413455963135	46.534	75.62
3782.newick	19	0.002067089080810547	0.07639169692993164	0.0784599781036377	9.331	19.944
3261.newick	20	0.0019288063049316406	0.14984703063964844	0.1517775058746338	12.152	24.752
1572.newick	20	0.0017161369323730469	0.09039068222045898	0.09210753440856934	9.46	20.62
785.newick	24	0.0011761188507080078	0.05832266807556152	0.059499263763427734	12.656	22.685
1578.newick	20	0.001123189926147461	0.07333850860595703	0.0744624137878418	10.303	21.766
1237.newick	21	0.001271963119506836	0.08394646644592285	0.0852193832397461	12.653	25.694
3191.newick	20	0.0011997222900390625	0.09523677825927734	0.09643745422363281	11.982	24.519
4242.newick	12	0.000993967056274414	0.03011178970336914	0.031106233596801758	7.1	16.574
850.newick	23	0.00110626220703125	0.06358861923217773	0.06469535827636719	12.795	25.623
4071.newick	16	0.0010955333709716797	0.05663704872131348	0.05773329734802246	8.13	18.542
4747.newick	4	0.0008418560028076172	0.003108501434326172	0.003950834274291992	2.863	14.228
3270.newick	20	0.0010921955108642578	0.08524394035339355	0.08633732795715332	13.442	26.316
3251.newick	20	0.0012211799621582031	0.10592961311340332	0.10715198516845703	12.072	24.56
1137.newick	21	0.0014977455139160156	0.07771992683410645	0.07921910285949707	12.189	24.884
4622.newick	5	0.0010144710540771484	0.0055353641510009766	0.006550312042236328	3.335	14.326
4759.newick	4	0.0008900165557861328	0.0032601356506347656	0.0041506290435791016	2.831	14.212
3727.newick	19	0.0012276172637939453	0.09168434143066406	0.09291267395019531	13.347	26.156
613.newick	26	0.0013103485107421875	0.09469985961914062	0.09601068496704102	17.8	31.673
3724.newick	19	0.0011353492736816406	0.06986045837402344	0.07099652290344238	9.823	21.193
1477.newick	20	0.0011479854583740234	0.10184049606323242	0.10298895835876465	14.952	27.356
2494.newick	20	0.001132965087890625	0.09645318984985352	0.09758687019348145	11.817	24.549
3438.newick	20	0.0011744499206542969	0.08761191368103027	0.08878684043884277	12.94	24.202
1943.newick	20	0.001102447509765625	0.06745505332946777	0.0685579776763916	9.048	20.679
4088.newick	15	0.0010304450988769531	0.055467844009399414	0.05649876594543457	8.141	19.205
4426.newick	8	0.0009057521820068359	0.008391857147216797	0.009298086166381836	4.353	14.994
